registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,engine_name,body_type,location,url,scrape_date
ASU024,124900,243070,2015,D4 Ocean Race BE 181hk P-värm PDC Rattvärm,Vit,Diesel,Framhjulsdrift,,Manuell,181 hk,,,TROLLHÄTTAN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/asu024/,2026-01-13
LHB00R,549000,21740,2023,Recharge T6 Ultimate Bright,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,HANINGE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/lhb00r/,2026-01-13
DZP03F,689900,21610,2025,,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/dzp03f/,2026-01-13
BTK810,189500,176580,2015,,Silver,Diesel,Fyrhjulsdrift,,Automat,181 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/btk810/,2026-01-13
RKS090,264000,100060,2017,D4 AWD Classic R-Design 2-brukare / Panorama / Backkamera,Vit,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,BRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/rks090/,2026-01-13
DCG77A,389900,66700,2023,B5 AWD Bensin Core,Blå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/dcg77a/,2026-01-13
THF31M,449900,122090,2023,,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/thf31m/,2026-01-13
WBT09X,619900,1180,2025,T6 Plus Dark Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,NACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/wbt09x/,2026-01-13
AHC769,159900,206350,2014,D4 AWD Summum BE VOC / Drag / Keyless / Skinn,Svart,Diesel,Fyrhjulsdrift,,Automat,181 hk,,,BRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ahc769/,2026-01-13
HGE68A,319000,104270,2020,T5 AWD Momentum Advanced SE II,Blå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,TRELLEBORG,https://www.bilia.se/bilar/sok-bil/volvo/xc60/hge68a/,2026-01-13
BYR28B,549900,38850,2023,"Recharge T6 Ultimate Dark, Taklucka, on call",Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/byr28b/,2026-01-13
GZL46C,389000,108970,2023,Recharge T6 Core Edition / AWD / GOOGLE / PANORAMA,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/gzl46c/,2026-01-13
EMZ76J,379000,83550,2023,B5 AWD Bensin Core,Grå,Bensin,Fyrhjulsdrift,,Automat,250 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/emz76j/,2026-01-13
JAB51G,539500,46180,2023,Recharge T8 Ultimate Bright,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/jab51g/,2026-01-13
SRP40F,469900,47670,2023,Recharge T6 Core Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/srp40f/,2026-01-13
NUG283,239900,124730,2016,D5 AWD Summum Business Edition PRO SE SPEC!,Svart,Diesel,Fyrhjulsdrift,,Automat,220 hk,,,SÖDERTÄLJE,https://www.bilia.se/bilar/sok-bil/volvo/xc60/nug283/,2026-01-13
PZZ54M,689000,8950,2026,T6 Plus Dark Nordic Edition,Röd,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/pzz54m/,2026-01-13
SJM16G,269500,165950,2019,D4 AWD Momentum SE,Svart,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,LUND,https://www.bilia.se/bilar/sok-bil/volvo/xc60/sjm16g/,2026-01-13
URW00H,429500,67420,2023,Recharge T6 Core Edition,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/urw00h/,2026-01-13
RAA83A,509000,52620,2023,Recharge T6 Plus Dark Läder/Backkamera/Panorama/Värmare,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/raa83a/,2026-01-13
MBN49G,689000,28570,2025,T8 Ultra Black Edition,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,BILIA HAGA NORRA VOLVO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/mbn49g/,2026-01-13
EOJ65M,349900,123000,2020,T8 TE Inscription,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,392 hk,,,JÄGERSRO,https://www.bilia.se/bilar/sok-bil/volvo/xc60/eoj65m/,2026-01-13
DJB09Z,629900,4410,2026,T6 Plus Black Nordic Edition,Blå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SÄVEDALEN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/djb09z/,2026-01-13
ZDT235,259900,205550,2018,"D4 AWD Inscription IB 19"" | Drag |",Grå,Diesel,Fyrhjulsdrift,,Automat,190 hk,,,VÄSTERÅS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/zdt235/,2026-01-13
ATK843,379900,156460,2023,Recharge T6 Plus Dark,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,KUNGÄLV,https://www.bilia.se/bilar/sok-bil/volvo/xc60/atk843/,2026-01-13
