registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,body_type,location,url,scrape_date
JPZ15T,479900,101020,2023,XC60 Recharge T8 Plus Bright,Platinum Grey Metallic731,Hybrid el/bensin,Fyrhjulsdrift,Mildhybrid,Automat,310,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t8-plus-bright-jpz15t,2026-01-13
LTR37U,579900,43510,2025,XC60 T6 Ultra Bright,Platinum Grey Metallic731,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-t6-ultra-bright-ltr37u,2026-01-13
DBW51B,569900,50120,2024,XC60 Recharge T8 Ultimate Dark,Thunder Grey Metallic 728,Hybrid el/bensin,Fyrhjulsdrift,,Automat,310,5 dörrar Herrgårdsvagn,ÖREBRO,https://rejmes.se/bil/volvo-xc60-recharge-t8-ultimate-dark-dbw51b,2026-01-13
PJL655,409900,95350,2021,XC60 B4 AWD Diesel R-Design,Onyx Svart Metallic 717,Mildhybrid Diesel,Fyrhjulsdrift,Mildhybrid,Automat,197,5 dörrar Herrgårdsvagn,ÖREBRO,https://rejmes.se/bil/volvo-xc60-b4-awd-diesel-r-design-pjl655,2026-01-13
MJA61S,479900,34760,2024,XC60 Recharge T6 II Core Edition,Platinum Grey Metallic731,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,MJÖLBY,https://rejmes.se/bil/volvo-xc60-recharge-t6-ii-core-edition-mja61s,2026-01-13
NEH12N,424900,65710,2023,XC60 Recharge T6 Core Edition,Onyx Svart Metallic 717,Hybrid el/bensin,Fyrhjulsdrift,Mildhybrid,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-neh12n,2026-01-13
BUW02J,614900,15530,2025,XC60 T6 Plus Black Nordic Edition,Onyx Black Metallic 717,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-t6-plus-black-nordic-edition-buw02j,2026-01-13
PTB85W,339800,134260,2021,XC60 Recharge T6 Inscription T,Luminous Sand Met 719,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t6-inscription-t-ptb85w,2026-01-13
XJA87K,489900,29500,2025,XC60 T6 Core Edition,Denim Blue Metallic 723,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-t6-core-edition-xja87k,2026-01-13
JGJ02H,479900,26900,2024,XC60 Recharge T6 Core Edition,Vapour Grey Metallic 740,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINDESBERG,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-jgj02h,2026-01-13
