Reg. Nr,Actual Price,Predicted Price,Discount %,Discount SEK,Year,Mileage (km),HP,Engine,Fuel,Drive,Model Variant
OWD647,124900,151957,17.8,19103,2016,256850,190.0,D4,Diesel,AWD,D4 AWD Ocean Race BE PRO 190hk Panorama Navi P-värm
LEZ51E,399500,471064,15.2,79249,2021,74350,391.0,T8,Plugin Hybrid,AWD,Inscription T | Dragkrok | Harman Kardon |
TFM51U,379500,446521,15.0,74130,2023,61500,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Core
YWY521,319900,373949,14.5,62367,2018,143150,408.0,T8,Plugin Hybrid,AWD,
RON05T,329500,384134,14.2,64950,2020,102110,391.0,T8,Plugin Hybrid,FWD,Momentum T8 TE Adwanced
ZFA527,284800,329778,13.6,43753,2018,100950,250.0,T5,Petrol,AWD,T5 II AWD Business Advanced NAV
LHS92D,299000,344070,13.1,38359,2020,119030,197.0,B4,Mild Hybrid,AWD,B4 AWD Diesel Momentum Advanced Edt
EOJ65M,349900,402470,13.1,62892,2020,123000,392.0,T8,Plugin Hybrid,AWD,T8 TE Inscription
AFR03D,484900,557606,13.0,74105,2025,20120,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
JBF54K,489900,562528,12.9,74864,2025,15350,349.0,T6,Plugin Hybrid,AWD,T6 Core Nordic Edition
UFG89P,379900,435432,12.8,59530,2023,73700,250.0,B5,Mild Hybrid,AWD,"B5 AWD Bensin Core, Navigation, P-Sensorer bak"
GDP79S,379800,434668,12.6,73350,2022,131580,391.0,T8,Plugin Hybrid,AWD,Recharge T8 Insc. B-Kamera H/K panorama
OJP06D,454900,519207,12.4,63827,2025,55430,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition
DCG77A,389900,442411,11.9,56766,2023,66700,250.0,B5,Mild Hybrid,AWD,B5 AWD Bensin Core
UHT99P,369900,418322,11.6,46828,2023,105380,252.0,T6,Plugin Hybrid,AWD,"Recharge T6 Core Edition, Dragkrok, Panoramaglastak"
GJR01Z,499900,564036,11.4,69740,2025,12570,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition (SELEKT)
RBR00G,379000,427268,11.3,48173,2023,95800,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
MHK48M,479900,539981,11.1,59711,2025,36670,349.0,T6,Plugin Hybrid,AWD,T6 Core Special Edition
